Feature,Importance
Credit_Score,0.18001876499251768
Income,0.1464228410244106
Debt_to_Income,0.13632085209338163
Loan_Amount,0.11364120985327507
Employment_Years,0.11008833759182286
Age,0.0898204917332694
Loan_Term,0.048915690908495575
Existing_Loans,0.04665374670801537
Dependents,0.03990892803785435
Married,0.016235110331185753
Payment_History,0.014977376268129155
Purpose_Personal,0.012239111168172079
Purpose_Debt_Consolidation,0.011621256436208462
Purpose_Education,0.011472406194991562
Purpose_Business,0.011070378394342164
Purpose_Home,0.010593498263928289
